time s
1.99700 -0.01687
2.00200 0.01127
2.00701 0.03953
2.01201 0.06787
2.01702 0.09627
2.02202 0.12469
2.02703 0.15311
2.03203 0.18149
2.03704 0.20980
2.04204 0.23802
2.04705 0.26611
2.05205 0.29404
2.05706 0.32178
2.06206 0.34931
2.06707 0.37659
2.07207 0.40359
2.07708 0.43028
2.08208 0.45664
2.08709 0.48263
2.09209 0.50822
2.09710 0.53339
2.10210 0.55811
2.10711 0.58235
2.11211 0.60608
2.11712 0.62928
2.12212 0.65191
2.12713 0.67396
2.13213 0.69540
2.13714 0.71620
2.14214 0.73634
2.14715 0.75580
2.15215 0.77455
2.15716 0.79257
2.16216 0.80985
2.16717 0.82635
2.17217 0.84206
2.17718 0.85696
2.18218 0.87104
2.18719 0.88427
2.19219 0.89664
2.19720 0.90813
2.20220 0.91874
2.20721 0.92844
2.21221 0.93722
2.21722 0.94508
2.22222 0.95200
2.22723 0.95797
2.23223 0.96298
2.23724 0.96703
2.24224 0.97010
2.24725 0.97220
2.25225 0.97332
2.25726 0.97346
2.26226 0.97261
2.26727 0.97077
2.27227 0.96795
2.27728 0.96414
2.28228 0.95934
2.28729 0.95357
2.29229 0.94681
2.29730 0.93909
2.30230 0.93040
2.30731 0.92076
2.31231 0.91016
2.31732 0.89863
2.32232 0.88617
2.32733 0.87279
2.33233 0.85851
2.33734 0.84334
2.34234 0.82729
2.34735 0.81038
2.35235 0.79263
2.35736 0.77406
2.36236 0.75468
2.36737 0.73451
2.37237 0.71357
2.37738 0.69189
2.38238 0.66949
2.38739 0.64638
2.39239 0.62260
2.39740 0.59817
2.40240 0.57311
2.40741 0.54745
2.41241 0.52121
2.41742 0.49443
2.42242 0.46713
2.42743 0.43933
2.43243 0.41108
2.43744 0.38239
2.44244 0.35330
2.44745 0.32384
2.45245 0.29403
2.45746 0.26392
2.46246 0.23353
2.46747 0.20289
2.47247 0.17204
2.47748 0.14101
2.48248 0.10983
2.48749 0.07853
2.49249 0.04715
2.49750 0.01572
2.50250 -0.01572
2.50751 -0.04715
2.51251 -0.07853
2.51752 -0.10983
2.52252 -0.14101
2.52753 -0.17204
2.53253 -0.20289
2.53754 -0.23353
2.54254 -0.26392
2.54755 -0.29403
2.55255 -0.32384
2.55756 -0.35330
2.56256 -0.38239
2.56757 -0.41108
2.57257 -0.43933
2.57758 -0.46713
2.58258 -0.49443
2.58759 -0.52121
2.59259 -0.54745
2.59760 -0.57311
2.60260 -0.59817
2.60761 -0.62260
2.61261 -0.64638
2.61762 -0.66949
2.62262 -0.69189
2.62763 -0.71357
2.63263 -0.73451
2.63764 -0.75468
2.64264 -0.77406
2.64765 -0.79263
2.65265 -0.81038
2.65766 -0.82729
2.66266 -0.84334
2.66767 -0.85851
2.67267 -0.87279
2.67768 -0.88617
2.68268 -0.89863
2.68769 -0.91016
2.69269 -0.92076
2.69770 -0.93040
2.70270 -0.93909
2.70771 -0.94681
2.71271 -0.95357
2.71772 -0.95934
2.72272 -0.96414
2.72773 -0.96795
2.73273 -0.97077
2.73774 -0.97261
2.74274 -0.97346
2.74775 -0.97332
2.75275 -0.97220
2.75776 -0.97010
2.76276 -0.96703
2.76777 -0.96298
2.77277 -0.95797
2.77778 -0.95200
2.78278 -0.94508
2.78779 -0.93722
2.79279 -0.92844
2.79780 -0.91874
2.80280 -0.90813
2.80781 -0.89664
2.81281 -0.88427
2.81782 -0.87104
2.82282 -0.85696
2.82783 -0.84206
2.83283 -0.82635
2.83784 -0.80985
2.84284 -0.79257
2.84785 -0.77455
2.85285 -0.75580
2.85786 -0.73634
2.86286 -0.71620
2.86787 -0.69540
2.87287 -0.67396
2.87788 -0.65191
2.88288 -0.62928
2.88789 -0.60608
2.89289 -0.58235
2.89790 -0.55811
2.90290 -0.53339
2.90791 -0.50822
2.91291 -0.48263
2.91792 -0.45664
2.92292 -0.43028
2.92793 -0.40359
2.93293 -0.37659
2.93794 -0.34931
2.94294 -0.32178
2.94795 -0.29404
2.95295 -0.26611
2.95796 -0.23802
2.96296 -0.20980
2.96797 -0.18149
2.97297 -0.15311
2.97798 -0.12469
2.98298 -0.09627
2.98799 -0.06787
2.99299 -0.03953
2.99800 -0.01127
3.00300 0.01687
3.00801 0.04487
3.01301 0.07270
3.01802 0.10033
3.02302 0.12773
3.02803 0.15487
3.03303 0.18172
3.03804 0.20826
3.04304 0.23447
3.04805 0.26031
3.05305 0.28575
3.05806 0.31078
3.06306 0.33537
3.06807 0.35950
3.07307 0.38314
3.07808 0.40626
3.08308 0.42886
3.08809 0.45090
3.09309 0.47236
3.09810 0.49323
3.10310 0.51349
3.10811 0.53311
3.11311 0.55209
3.11812 0.57040
3.12312 0.58802
3.12813 0.60495
3.13313 0.62117
3.13814 0.63666
3.14314 0.65142
3.14815 0.66542
3.15315 0.67867
3.15816 0.69115
3.16316 0.70285
3.16817 0.71376
3.17317 0.72388
3.17818 0.73320
3.18318 0.74171
3.18819 0.74942
3.19319 0.75631
3.19820 0.76239
3.20320 0.76766
3.20821 0.77210
3.21321 0.77573
3.21822 0.77855
3.22322 0.78055
3.22823 0.78174
3.23323 0.78213
3.23824 0.78171
3.24324 0.78050
3.24825 0.77850
3.25325 0.77571
3.25826 0.77216
3.26326 0.76783
3.26827 0.76276
3.27327 0.75694
3.27828 0.75038
3.28328 0.74311
3.28829 0.73512
3.29329 0.72644
3.29830 0.71708
3.30330 0.70706
3.30831 0.69638
3.31331 0.68508
3.31832 0.67315
3.32332 0.66062
3.32833 0.64751
3.33333 0.63384
3.33834 0.61962
3.34334 0.60488
3.34835 0.58963
3.35335 0.57389
3.35836 0.55769
3.36336 0.54105
3.36837 0.52398
3.37337 0.50651
3.37838 0.48867
3.38338 0.47046
3.38839 0.45192
3.39339 0.43307
3.39840 0.41393
3.40340 0.39453
3.40841 0.37488
3.41341 0.35501
3.41842 0.33494
3.42342 0.31471
3.42843 0.29432
3.43343 0.27380
3.43844 0.25319
3.44344 0.23249
3.44845 0.21173
3.45345 0.19094
3.45846 0.17014
3.46346 0.14935
3.46847 0.12860
3.47347 0.10790
3.47848 0.08728
3.48348 0.06675
3.48849 0.04635
3.49349 0.02609
3.49850 0.00599
3.50350 -0.01392
3.50851 -0.03363
3.51351 -0.05312
3.51852 -0.07237
3.52352 -0.09135
3.52853 -0.11006
3.53353 -0.12847
3.53854 -0.14657
3.54354 -0.16434
3.54855 -0.18176
3.55355 -0.19882
3.55856 -0.21550
3.56356 -0.23179
3.56857 -0.24767
3.57357 -0.26314
3.57858 -0.27817
3.58358 -0.29276
3.58859 -0.30689
3.59359 -0.32056
3.59860 -0.33375
3.60360 -0.34645
3.60861 -0.35866
3.61361 -0.37036
3.61862 -0.38156
3.62362 -0.39223
3.62863 -0.40238
3.63363 -0.41200
3.63864 -0.42109
3.64364 -0.42963
3.64865 -0.43764
3.65365 -0.44509
3.65866 -0.45200
3.66366 -0.45836
3.66867 -0.46416
3.67367 -0.46942
3.67868 -0.47412
3.68368 -0.47828
3.68869 -0.48188
3.69369 -0.48494
3.69870 -0.48745
3.70370 -0.48943
3.70871 -0.49086
3.71371 -0.49177
3.71872 -0.49214
3.72372 -0.49200
3.72873 -0.49134
3.73373 -0.49017
3.73874 -0.48850
3.74374 -0.48634
3.74875 -0.48369
3.75375 -0.48057
3.75876 -0.47698
3.76376 -0.47293
3.76877 -0.46843
3.77377 -0.46349
3.77878 -0.45813
3.78378 -0.45235
